Drug,Tissue,Model,Features,Test Accuracy,Test Balanced Accuracy,Test ROC AUC
Pembro,STAD,LogisticRegression,cosmic2,0.7777777777777778,0.5,0.5
Pembro,STAD,LogisticRegression,cosmic2,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,LogisticRegression,cosmic2,0.7777777777777778,0.6785714285714286,0.6428571428571428
Pembro,STAD,LogisticRegression,cosmic2,0.7777777777777778,0.5,0.6428571428571428
Pembro,STAD,LogisticRegression,cosmic,0.7777777777777778,0.6785714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,cosmic,0.5555555555555556,0.5357142857142857,0.7857142857142857
Pembro,STAD,LogisticRegression,cosmic,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,cosmic,0.5555555555555556,0.5357142857142857,0.4285714285714286
Pembro,STAD,LogisticRegression,cosmic,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,LogisticRegression,cosmic,0.8888888888888888,0.9285714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,cosmic,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,LogisticRegression,cosmic,0.7777777777777778,0.6785714285714286,0.7142857142857142
Pembro,STAD,LogisticRegression,cosmic,0.8888888888888888,0.75,0.5714285714285714
Pembro,STAD,LogisticRegression,cosmic,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,cosmic,0.7777777777777778,0.8571428571428572,0.9285714285714286
Pembro,STAD,LogisticRegression,cosmic,0.6666666666666666,0.6071428571428572,0.6428571428571428
Pembro,STAD,LogisticRegression,cosmic,0.7777777777777778,0.5,0.5
Pembro,STAD,LogisticRegression,cosmic,0.8888888888888888,0.75,0.6428571428571428
Pembro,STAD,LogisticRegression,cosmic,0.7777777777777778,0.5,0.7142857142857143
Pembro,STAD,LogisticRegression,cosmic,0.6666666666666666,0.7857142857142857,0.7857142857142857
Pembro,STAD,LogisticRegression,cosmic,0.7777777777777778,0.5,0.5714285714285714
Pembro,STAD,LogisticRegression,cosmic,0.6666666666666666,0.42857142857142855,0.6428571428571429
Pembro,STAD,LogisticRegression,cosmic,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,cosmic,0.6666666666666666,0.7857142857142857,1.0
Pembro,STAD,LogisticRegression,cosmic,0.6666666666666666,0.7857142857142857,1.0
Pembro,STAD,LogisticRegression,cosmic,0.6666666666666666,0.6071428571428572,0.7142857142857143
Pembro,STAD,LogisticRegression,cosmic,0.7777777777777778,0.8571428571428572,1.0
Pembro,STAD,LogisticRegression,cosmic,0.7777777777777778,0.5,0.5
Pembro,STAD,LogisticRegression,cosmic,0.6666666666666666,0.6071428571428572,0.5714285714285714
Pembro,STAD,LogisticRegression,kegg,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,kegg,0.6666666666666666,0.6071428571428572,0.7142857142857143
Pembro,STAD,LogisticRegression,kegg,0.8888888888888888,0.75,0.5714285714285714
Pembro,STAD,LogisticRegression,kegg,0.6666666666666666,0.6071428571428572,0.5714285714285714
Pembro,STAD,LogisticRegression,kegg,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,kegg,0.8888888888888888,0.75,1.0
Pembro,STAD,LogisticRegression,kegg,0.5555555555555556,0.7142857142857143,0.7857142857142857
Pembro,STAD,LogisticRegression,kegg,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,kegg,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,kegg,0.7777777777777778,0.5,0.8571428571428572
Pembro,STAD,LogisticRegression,kegg,0.7777777777777778,0.8571428571428572,1.0
Pembro,STAD,LogisticRegression,kegg,0.8888888888888888,0.9285714285714286,0.9285714285714286
Pembro,STAD,LogisticRegression,kegg,0.7777777777777778,0.8571428571428572,0.8571428571428572
Pembro,STAD,LogisticRegression,kegg,0.7777777777777778,0.6785714285714286,0.9285714285714286
Pembro,STAD,LogisticRegression,kegg,0.8888888888888888,0.75,0.5
Pembro,STAD,LogisticRegression,kegg,0.8888888888888888,0.9285714285714286,0.9285714285714286
Pembro,STAD,LogisticRegression,kegg,0.7777777777777778,0.6785714285714286,0.9285714285714286
Pembro,STAD,LogisticRegression,kegg,0.7777777777777778,0.6785714285714286,0.9285714285714286
Pembro,STAD,LogisticRegression,kegg,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,kegg,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,kegg,0.8888888888888888,0.75,1.0
Pembro,STAD,LogisticRegression,kegg,0.7777777777777778,0.8571428571428572,1.0
Pembro,STAD,LogisticRegression,kegg,0.7777777777777778,0.6785714285714286,0.5714285714285714
Pembro,STAD,LogisticRegression,kegg,0.6666666666666666,0.42857142857142855,0.0
Pembro,STAD,LogisticRegression,kegg,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,vogelstein,0.6666666666666666,0.42857142857142855,0.3571428571428572
Pembro,STAD,LogisticRegression,vogelstein,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,vogelstein,0.6666666666666666,0.42857142857142855,0.35714285714285715
Pembro,STAD,LogisticRegression,vogelstein,0.5555555555555556,0.7142857142857143,0.7142857142857143
Pembro,STAD,LogisticRegression,vogelstein,0.6666666666666666,0.7857142857142857,0.5714285714285714
Pembro,STAD,LogisticRegression,vogelstein,0.5555555555555556,0.35714285714285715,0.2857142857142857
Pembro,STAD,LogisticRegression,vogelstein,0.7777777777777778,0.6785714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,vogelstein,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,vogelstein,0.6666666666666666,0.42857142857142855,0.7857142857142857
Pembro,STAD,LogisticRegression,vogelstein,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,vogelstein,0.7777777777777778,0.5,1.0
Pembro,STAD,LogisticRegression,vogelstein,0.7777777777777778,0.6785714285714286,0.4285714285714286
Pembro,STAD,LogisticRegression,vogelstein,0.6666666666666666,0.6071428571428572,0.5714285714285714
Pembro,STAD,LogisticRegression,vogelstein,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,vogelstein,0.6666666666666666,0.6071428571428572,0.8571428571428572
Pembro,STAD,LogisticRegression,vogelstein,0.6666666666666666,0.42857142857142855,0.8571428571428572
Pembro,STAD,LogisticRegression,vogelstein,0.6666666666666666,0.6071428571428572,0.7857142857142857
Pembro,STAD,LogisticRegression,vogelstein,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,vogelstein,0.8888888888888888,0.75,1.0
Pembro,STAD,LogisticRegression,vogelstein,0.6666666666666666,0.6071428571428572,0.7857142857142857
Pembro,STAD,LogisticRegression,vogelstein,0.7777777777777778,0.8571428571428572,0.8571428571428572
Pembro,STAD,LogisticRegression,vogelstein,0.6666666666666666,0.6071428571428572,0.4285714285714286
Pembro,STAD,LogisticRegression,vogelstein,0.7777777777777778,0.6785714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,vogelstein,0.8888888888888888,0.9285714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,vogelstein,0.7777777777777778,0.5,0.7142857142857142
Pembro,STAD,LogisticRegression,mdsig,0.7777777777777778,0.8571428571428572,0.9285714285714286
Pembro,STAD,LogisticRegression,mdsig,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,mdsig,0.6666666666666666,0.42857142857142855,0.07142857142857145
Pembro,STAD,LogisticRegression,mdsig,0.6666666666666666,0.6071428571428572,0.5714285714285714
Pembro,STAD,LogisticRegression,mdsig,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,mdsig,0.7777777777777778,0.6785714285714286,0.5714285714285714
Pembro,STAD,LogisticRegression,mdsig,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,mdsig,0.6666666666666666,0.6071428571428572,0.6428571428571428
Pembro,STAD,LogisticRegression,mdsig,0.6666666666666666,0.6071428571428572,0.8571428571428572
Pembro,STAD,LogisticRegression,mdsig,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,mdsig,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,mdsig,0.6666666666666666,0.6071428571428572,0.8571428571428572
Pembro,STAD,LogisticRegression,mdsig,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,mdsig,0.6666666666666666,0.7857142857142857,0.7142857142857142
Pembro,STAD,LogisticRegression,mdsig,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,mdsig,0.6666666666666666,0.6071428571428572,0.7857142857142857
Pembro,STAD,LogisticRegression,mdsig,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,mdsig,0.8888888888888888,0.75,0.5
Pembro,STAD,LogisticRegression,mdsig,0.5555555555555556,0.5357142857142857,0.7142857142857143
Pembro,STAD,LogisticRegression,mdsig,0.5555555555555556,0.5357142857142857,0.7857142857142857
Pembro,STAD,LogisticRegression,mdsig,0.8888888888888888,0.9285714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,mdsig,0.7777777777777778,0.5,0.14285714285714285
Pembro,STAD,LogisticRegression,mdsig,0.7777777777777778,0.8571428571428572,0.9285714285714286
Pembro,STAD,LogisticRegression,mdsig,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,mdsig,0.7777777777777778,0.8571428571428572,1.0
Pembro,STAD,LogisticRegression,auslander,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,auslander,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,LogisticRegression,auslander,0.5555555555555556,0.35714285714285715,0.5
Pembro,STAD,LogisticRegression,auslander,0.8888888888888888,0.75,0.6428571428571428
Pembro,STAD,LogisticRegression,auslander,0.6666666666666666,0.6071428571428572,0.7142857142857143
Pembro,STAD,LogisticRegression,auslander,0.7777777777777778,0.8571428571428572,1.0
Pembro,STAD,LogisticRegression,auslander,0.6666666666666666,0.6071428571428572,0.5714285714285714
Pembro,STAD,LogisticRegression,auslander,0.5555555555555556,0.35714285714285715,0.35714285714285715
Pembro,STAD,LogisticRegression,auslander,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,auslander,0.7777777777777778,0.6785714285714286,0.7142857142857143
Pembro,STAD,LogisticRegression,auslander,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,auslander,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,auslander,0.7777777777777778,0.6785714285714286,0.5714285714285714
Pembro,STAD,LogisticRegression,auslander,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,auslander,0.6666666666666666,0.6071428571428572,0.8571428571428572
Pembro,STAD,LogisticRegression,auslander,0.8888888888888888,0.75,0.5
Pembro,STAD,LogisticRegression,auslander,0.7777777777777778,0.5,1.0
Pembro,STAD,LogisticRegression,auslander,0.8888888888888888,0.9285714285714286,1.0
Pembro,STAD,LogisticRegression,auslander,0.6666666666666666,0.6071428571428572,0.5714285714285714
Pembro,STAD,LogisticRegression,auslander,0.8888888888888888,0.75,0.8571428571428572
Pembro,STAD,LogisticRegression,auslander,0.7777777777777778,0.6785714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,auslander,0.8888888888888888,0.9285714285714286,0.9285714285714286
Pembro,STAD,LogisticRegression,auslander,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,auslander,0.7777777777777778,0.6785714285714286,0.9285714285714286
Pembro,STAD,LogisticRegression,auslander,0.7777777777777778,0.6785714285714286,0.5714285714285714
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.7777777777777778,0.6785714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.6666666666666666,0.42857142857142855,0.5714285714285714
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.6666666666666666,0.7857142857142857,1.0
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.7777777777777778,0.5,0.9285714285714286
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.7777777777777778,0.8571428571428572,1.0
Pembro,STAD,LogisticRegression,TIDE_VALUES,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.5555555555555556,0.35714285714285715,0.3571428571428572
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.6666666666666666,0.42857142857142855,0.5
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.8888888888888888,0.75,0.5
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.5555555555555556,0.5357142857142857,0.5
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.6666666666666666,0.42857142857142855,0.6428571428571429
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.6666666666666666,0.6071428571428572,0.5
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.7777777777777778,0.6785714285714286,0.7142857142857143
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.4444444444444444,0.4642857142857143,0.5
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.6666666666666666,0.7857142857142857,0.8571428571428572
Pembro,STAD,LogisticRegression,TIDE_VALUES,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,TIDE_VALUES,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.8888888888888888,0.75,1.0
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.6666666666666666,0.42857142857142855,0.4285714285714286
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.6666666666666666,0.42857142857142855,0.8571428571428572
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.7777777777777778,0.6785714285714286,0.8571428571428572
Pembro,STAD,LogisticRegression,TIDE_VALUES,1.0,1.0,1.0
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.8888888888888888,0.75,0.7857142857142857
Pembro,STAD,LogisticRegression,TIDE_VALUES,0.8888888888888888,0.75,1.0
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.5,0.7857142857142857
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.6785714285714286,0.5
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.5,0.5
Pembro,STAD,RandomForest,cosmic1,0.8888888888888888,0.75,1.0
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.5,0.5357142857142857
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.5,0.5714285714285714
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.5,1.0
Pembro,STAD,RandomForest,cosmic1,1.0,1.0,1.0
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.8571428571428572,1.0
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.5,0.7142857142857142
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.6785714285714286,0.6785714285714286
Pembro,STAD,RandomForest,cosmic1,0.6666666666666666,0.42857142857142855,0.3571428571428571
Pembro,STAD,RandomForest,cosmic1,0.5555555555555556,0.35714285714285715,0.5714285714285714
Pembro,STAD,RandomForest,cosmic1,0.8888888888888888,0.75,0.8928571428571428
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.8571428571428572,0.9285714285714286
Pembro,STAD,RandomForest,cosmic1,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.5,0.9285714285714286
Pembro,STAD,RandomForest,cosmic1,0.5555555555555556,0.35714285714285715,0.5714285714285714
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.6785714285714286,0.7857142857142857
Pembro,STAD,RandomForest,cosmic1,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,RandomForest,cosmic1,0.8888888888888888,0.75,1.0
Pembro,STAD,RandomForest,cosmic1,0.5555555555555556,0.35714285714285715,0.35714285714285715
Pembro,STAD,RandomForest,cosmic1,0.8888888888888888,0.75,1.0
Pembro,STAD,RandomForest,cosmic1,0.6666666666666666,0.42857142857142855,0.2857142857142857
Pembro,STAD,RandomForest,cosmic1,0.7777777777777778,0.6785714285714286,0.7142857142857143
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,1.0
Pembro,STAD,RandomForest,cosmic2,0.8888888888888888,0.75,0.9285714285714285
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,0.4285714285714286
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,0.5
Pembro,STAD,RandomForest,cosmic2,0.5555555555555556,0.7142857142857143,0.7142857142857143
Pembro,STAD,RandomForest,cosmic2,0.8888888888888888,0.75,0.7142857142857143
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.6785714285714286,0.7142857142857143
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,0.28571428571428575
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,1.0
Pembro,STAD,RandomForest,cosmic2,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.6785714285714286,0.9285714285714285
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.6785714285714286,0.5357142857142857
Pembro,STAD,RandomForest,cosmic2,0.8888888888888888,0.75,1.0
Pembro,STAD,RandomForest,cosmic2,0.5555555555555556,0.35714285714285715,0.7142857142857143
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,0.7142857142857143
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,0.7857142857142857
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.6785714285714286,0.6428571428571428
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,0.7857142857142857
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,0.7142857142857143
Pembro,STAD,RandomForest,cosmic2,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,RandomForest,cosmic2,0.6666666666666666,0.42857142857142855,0.3571428571428572
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,0.9285714285714286
Pembro,STAD,RandomForest,cosmic2,0.6666666666666666,0.42857142857142855,0.6785714285714285
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.6785714285714286,0.6071428571428571
Pembro,STAD,RandomForest,cosmic2,0.7777777777777778,0.5,0.6428571428571428
Pembro,STAD,RandomForest,cosmic,0.8888888888888888,0.75,0.7142857142857143
Pembro,STAD,RandomForest,cosmic,0.5555555555555556,0.35714285714285715,0.3571428571428572
Pembro,STAD,RandomForest,cosmic,0.7777777777777778,0.5,0.4285714285714286
Pembro,STAD,RandomForest,cosmic,1.0,1.0,1.0
Pembro,STAD,RandomForest,cosmic,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,RandomForest,cosmic,0.6666666666666666,0.42857142857142855,0.5714285714285714
Pembro,STAD,RandomForest,cosmic,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,RandomForest,cosmic,0.8888888888888888,0.75,1.0
Pembro,STAD,RandomForest,cosmic,0.6666666666666666,0.6071428571428572,0.6428571428571428
Pembro,STAD,RandomForest,cosmic,0.7777777777777778,0.5,0.6428571428571428
Pembro,STAD,RandomForest,cosmic,0.7777777777777778,0.5,0.8571428571428572
Pembro,STAD,RandomForest,cosmic,1.0,1.0,1.0
Pembro,STAD,RandomForest,cosmic,0.7777777777777778,0.5,1.0
Pembro,STAD,RandomForest,cosmic,0.7777777777777778,0.5,0.75
Pembro,STAD,RandomForest,cosmic,0.8888888888888888,0.9285714285714286,0.8571428571428572
Pembro,STAD,RandomForest,cosmic,1.0,1.0,1.0
Pembro,STAD,RandomForest,cosmic,0.8888888888888888,0.75,0.9642857142857143
Pembro,STAD,RandomForest,cosmic,0.7777777777777778,0.5,0.8571428571428572
Pembro,STAD,RandomForest,cosmic,0.4444444444444444,0.4642857142857143,0.4642857142857143
Pembro,STAD,RandomForest,cosmic,0.7777777777777778,0.5,0.5714285714285714
Pembro,STAD,RandomForest,cosmic,0.6666666666666666,0.42857142857142855,0.7142857142857142
Pembro,STAD,RandomForest,cosmic,0.7777777777777778,0.5,0.14285714285714285
Pembro,STAD,RandomForest,cosmic,0.7777777777777778,0.6785714285714286,0.7857142857142857
Pembro,STAD,RandomForest,cosmic,0.7777777777777778,0.5,0.6428571428571428
Pembro,STAD,RandomForest,cosmic,1.0,1.0,1.0
Pembro,STAD,RandomForest,kegg,0.6666666666666666,0.42857142857142855,0.6785714285714286
Pembro,STAD,RandomForest,kegg,0.8888888888888888,0.75,0.8571428571428572
Pembro,STAD,RandomForest,kegg,1.0,1.0,1.0
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.5,0.4285714285714286
Pembro,STAD,RandomForest,kegg,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,RandomForest,kegg,0.8888888888888888,0.75,1.0
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.5,0.8571428571428571
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.5,0.7857142857142857
Pembro,STAD,RandomForest,kegg,0.8888888888888888,0.75,1.0
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.5,0.8571428571428571
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.6785714285714286,0.8928571428571429
Pembro,STAD,RandomForest,kegg,0.4444444444444444,0.2857142857142857,0.35714285714285715
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.6785714285714286,0.9285714285714286
Pembro,STAD,RandomForest,kegg,0.3333333333333333,0.39285714285714285,0.39285714285714285
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.5,0.5714285714285714
Pembro,STAD,RandomForest,kegg,0.4444444444444444,0.2857142857142857,0.25
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.5,0.5714285714285714
Pembro,STAD,RandomForest,kegg,0.8888888888888888,0.75,0.6428571428571428
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.5,0.8928571428571429
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.6785714285714286,0.6428571428571428
Pembro,STAD,RandomForest,kegg,0.6666666666666666,0.6071428571428572,0.7142857142857142
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.5,0.7857142857142857
Pembro,STAD,RandomForest,kegg,0.7777777777777778,0.8571428571428572,0.7857142857142857
Pembro,STAD,RandomForest,kegg,1.0,1.0,1.0
Pembro,STAD,RandomForest,kegg,0.8888888888888888,0.75,1.0
Pembro,STAD,RandomForest,vogelstein,0.6666666666666666,0.6071428571428572,0.7142857142857143
Pembro,STAD,RandomForest,vogelstein,0.6666666666666666,0.42857142857142855,0.7857142857142857
Pembro,STAD,RandomForest,vogelstein,0.8888888888888888,0.75,1.0
Pembro,STAD,RandomForest,vogelstein,0.7777777777777778,0.5,0.35714285714285715
Pembro,STAD,RandomForest,vogelstein,0.7777777777777778,0.5,0.9285714285714286
Pembro,STAD,RandomForest,vogelstein,0.6666666666666666,0.42857142857142855,0.7142857142857143
Pembro,STAD,RandomForest,vogelstein,0.7777777777777778,0.5,0.6428571428571429
Pembro,STAD,RandomForest,vogelstein,0.7777777777777778,0.6785714285714286,0.6785714285714286
Pembro,STAD,RandomForest,vogelstein,0.6666666666666666,0.42857142857142855,0.4642857142857143
Pembro,STAD,RandomForest,vogelstein,0.8888888888888888,0.75,0.9285714285714286
Pembro,STAD,RandomForest,vogelstein,0.7777777777777778,0.5,0.5
Pembro,STAD,RandomForest,vogelstein,0.7777777777777778,0.5,0.5357142857142857
